16231@1772032175.429247:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429250:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429256:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429491:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x11
16231@1772032175.429497:vfio_region_write  (0000:25:00.0:region0+0x48, 0x12, 1)
16231@1772032175.429503:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429506:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429512:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429666:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x12
16231@1772032175.429672:vfio_region_write  (0000:25:00.0:region0+0x48, 0x13, 1)
16231@1772032175.429682:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429685:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429691:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429827:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x13
16231@1772032175.429833:vfio_region_write  (0000:25:00.0:region0+0x48, 0x14, 1)
16231@1772032175.429839:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429842:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.429848:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429980:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x14
16231@1772032175.429989:vfio_region_write  (0000:25:00.0:region0+0x48, 0x15, 1)
16231@1772032175.429995:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.429998:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430004:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430126:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x15
16231@1772032175.430131:vfio_region_write  (0000:25:00.0:region0+0x48, 0x16, 1)
16231@1772032175.430137:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430140:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430146:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430278:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x16
16231@1772032175.430297:vfio_region_write  (0000:25:00.0:region0+0x48, 0x17, 1)
16231@1772032175.430304:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430307:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430313:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430439:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x17
16231@1772032175.430444:vfio_region_write  (0000:25:00.0:region0+0x48, 0x18, 1)
16231@1772032175.430450:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430454:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430460:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430590:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x18
16231@1772032175.430595:vfio_region_write  (0000:25:00.0:region0+0x48, 0x19, 1)
16231@1772032175.430602:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430605:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430611:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430732:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x19
16231@1772032175.430737:vfio_region_write  (0000:25:00.0:region0+0x48, 0x1a, 1)
16231@1772032175.430743:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430746:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430752:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430876:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1a
16231@1772032175.430881:vfio_region_write  (0000:25:00.0:region0+0x48, 0x1b, 1)
16231@1772032175.430888:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.430891:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.430897:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431015:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1b
16231@1772032175.431020:vfio_region_write  (0000:25:00.0:region0+0x48, 0x1c, 1)
16231@1772032175.431026:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431029:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.431035:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431161:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x1c
16231@1772032175.431167:vfio_region_write  (0000:25:00.0:region0+0x48, 0x27, 1)
16231@1772032175.431173:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431176:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.431182:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431516:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x27
16231@1772032175.431525:vfio_region_write  (0000:25:00.0:region0+0x48, 0x28, 1)
16231@1772032175.431534:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431537:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.431543:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431663:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x28
16231@1772032175.431671:vfio_region_write  (0000:25:00.0:region0+0x48, 0x3f, 1)
16231@1772032175.431677:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.431680:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.431686:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432273:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x3f
16231@1772032175.432287:vfio_region_write  (0000:25:00.0:region0+0x48, 0x40, 1)
16231@1772032175.432293:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432297:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.432302:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432412:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x40
16231@1772032175.432571:vfio_region_write  (0000:25:00.0:region0+0x48, 0x41, 1)
16231@1772032175.432578:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432582:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.432588:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432711:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x41
16231@1772032175.432716:vfio_region_write  (0000:25:00.0:region0+0x48, 0x42, 1)
16231@1772032175.432722:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432725:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.432731:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.432849:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x42
16231@1772032175.433247:vfio_region_write  (0000:25:00.0:region0+0x48, 0x43, 1)
16231@1772032175.433254:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433258:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.433264:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433397:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x43
16231@1772032175.433402:vfio_region_write  (0000:25:00.0:region0+0x48, 0x44, 1)
16231@1772032175.433409:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433412:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.433418:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433542:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x44
16231@1772032175.433547:vfio_region_write  (0000:25:00.0:region0+0x48, 0x45, 1)
16231@1772032175.433553:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433557:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.433562:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433696:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x45
16231@1772032175.433702:vfio_region_write  (0000:25:00.0:region0+0x48, 0x46, 1)
16231@1772032175.433708:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433711:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.433717:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433882:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x46
16231@1772032175.433887:vfio_region_write  (0000:25:00.0:region0+0x48, 0x47, 1)
16231@1772032175.433893:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.433897:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.433902:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434023:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x47
16231@1772032175.434028:vfio_region_write  (0000:25:00.0:region0+0x48, 0x48, 1)
16231@1772032175.434034:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434038:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434044:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434169:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x48
16231@1772032175.434178:vfio_region_write  (0000:25:00.0:region0+0x48, 0x49, 1)
16231@1772032175.434184:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434187:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434193:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434320:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x49
16231@1772032175.434325:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4a, 1)
16231@1772032175.434331:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434334:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434340:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434464:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4a
16231@1772032175.434469:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4b, 1)
16231@1772032175.434475:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434479:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434484:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434606:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4b
16231@1772032175.434611:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4c, 1)
16231@1772032175.434617:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434620:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434626:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434760:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4c
16231@1772032175.434765:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4d, 1)
16231@1772032175.434771:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434774:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434780:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434900:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4d
16231@1772032175.434906:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4e, 1)
16231@1772032175.434912:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.434915:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.434921:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435041:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4e
16231@1772032175.435290:vfio_region_write  (0000:25:00.0:region0+0x48, 0x4f, 1)
16231@1772032175.435301:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435305:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.435311:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435445:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x4f
16231@1772032175.435451:vfio_region_write  (0000:25:00.0:region0+0x48, 0x50, 1)
16231@1772032175.435457:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435460:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.435466:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435625:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x50
