3922@1775252440.614847:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614853:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614859:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614864:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614870:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614875:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614881:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614886:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614892:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614898:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614903:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614909:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614915:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614921:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614927:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614933:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614939:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614945:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614952:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614958:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614963:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614969:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614976:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614982:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.614989:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.614995:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615001:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615007:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615013:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615019:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615025:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615031:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615037:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615043:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615050:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615056:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615062:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615068:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615082:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615088:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615094:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615100:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615106:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615112:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615118:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615125:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615131:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615137:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615143:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615149:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615155:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615161:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
